work_id,name,系列名,系列集數,Y
162,突襲女優計畫EP2性愛番外篇,突襲女優家,4,
161,突襲女優計畫EP2,突襲女優家,3,
607,突襲女優計畫EP2,突襲女優家,3,
160,突襲女優計畫EP1性愛番外篇,突襲女優家,2,
159,突襲女優計畫EP1,突襲女優家,1,
1171,騷女僕漢堡佐白濁山藥泥,料理淫家,4,
1154,想上位？先滿足老闆的性與胃,料理淫家,1,
1172,直擊料理台 廚娘花絮篇,料理淫家,5,
1137,白袍淫天使進補食療,料理淫家,3,
1138,白袍淫天使進補食療,料理淫家,3,
1174,白袍淫天使進補食療,料理淫家,3,
1175,白袍淫天使進補食療,料理淫家,3,
1176,白袍淫天使進補食療,料理淫家,3,
1120,"""情色料理""""淫""""聖誕""",料理淫家,2,
1153,桃泰S2- EP8,桃泰郎S2,8,
1139,桃泰S2- EP7,桃泰郎S2,7,
1118,桃泰S2- EP6,桃泰郎S2,6,
1094,桃泰S2- EP5,桃泰郎S2,5,
1072,桃泰S2- EP4,桃泰郎S2,4,
1060,桃泰S2- EP3,桃泰郎S2,3,
1051,桃泰S2- EP2,桃泰郎S2,2,
1026,桃泰S2- EP1,桃泰郎S2,1,
214,狼人插II 騷氣女神唯愛AV版,狼人插,6,
513,狼人插II 墮落愛神懲戒AV版,狼人插,5,
512,狼人插II 前導篇,狼人插,4,
213,狼人插誰插人 淫亂色虐篇,狼人插,3,
212,狼人插誰插人 唯美性愛篇,狼人插,2,
511,狼人插誰插人 女神VS色狼,狼人插,1,
186,密室逃脫EP4AV篇情人劫,密室逃脫,8,
185,密室逃脫EP4情人劫,密室逃脫,7,
184,密室逃脫EP3AV篇情人劫,密室逃脫,6,
183,密室逃脫EP3情人劫,密室逃脫,5,
182,密室逃脫EP2AV篇刺青女狂熱抽插,密室逃脫,4,
181,密室逃脫EP2女神性技爆棚,密室逃脫,3,
180,密室逃脫EP1AV篇情人劫,密室逃脫,2,
179,密室逃脫EP1情人劫,密室逃脫,1,
209,情趣大富翁EP4AV篇,情趣大富翁,6,
208,情趣大富翁EP4,情趣大富翁,5,
559,情趣大富翁EP3,情趣大富翁,4,
207,情趣大富翁EP2AV篇,情趣大富翁,3,
206,情趣大富翁EP2,情趣大富翁,2,
205,情趣大富翁EP1,情趣大富翁,1,
215,情趣K歌房EP9,情趣K歌房,1,
325,情趣K歌房EP25,情趣K歌房,15,
228,情趣K歌房EP24,情趣K歌房,14,
227,情趣K歌房EP23,情趣K歌房,13,
226,情趣K歌房EP22,情趣K歌房,12,
225,情趣K歌房EP21,情趣K歌房,11,
224,情趣K歌房EP20,情趣K歌房,10,
223,情趣K歌房EP18,情趣K歌房,9,
222,情趣K歌房EP17,情趣K歌房,8,
221,情趣K歌房EP16,情趣K歌房,7,
220,情趣K歌房EP14,情趣K歌房,6,
219,情趣K歌房EP13,情趣K歌房,5,
218,情趣K歌房EP12,情趣K歌房,4,
217,情趣K歌房EP11,情趣K歌房,3,
216,情趣K歌房EP10,情趣K歌房,2,
828,野外露初EP5,野外露初,5,
809,野外露初ep4,野外露初,4,
783,野外露初ep3,野外露初,3,
771,野外露初EP2,野外露初,2,
753,野外露初EP1,野外露初,1,
211,尋寶吧女神2AV篇,尋寶吧！女神！,4,
210,尋寶吧女神2,尋寶吧！女神！,3,
446,尋寶吧！女神！EP4,尋寶吧！女神！,6,
426,尋寶吧！女神！EP3,尋寶吧！女神！,5,
633,尋寶吧！女神！EP3,尋寶吧！女神！,5,
561,尋寶吧！女神！EP1,尋寶吧！女神！,1,
453,尋寶吧！女神！AV4下,尋寶吧！女神！,8,
619,尋寶吧！女神！AV4下,尋寶吧！女神！,8,
452,尋寶吧！女神！AV4上,尋寶吧！女神！,7,
660,尋寶吧！女神！AV4上,尋寶吧！女神！,7,
560,尋寶吧！女神！AV1,尋寶吧！女神！,2,
194,換妻性愛治療EP2AV篇,換妻性愛治療之旅,5,
193,換妻性愛治療EP2,換妻性愛治療之旅,4,
510,換妻性愛治療EP1AV篇2,換妻性愛治療之旅,3,
192,換妻性愛治療EP1AV篇1,換妻性愛治療之旅,2,
191,換妻性愛治療EP1,換妻性愛治療之旅,1,
707,極樂天堂爭霸戰EP2節目篇,極樂天堂爭霸戰,3,
705,極樂天堂爭霸戰EP2性愛篇,極樂天堂爭霸戰,4,
687,極樂天堂爭霸戰EP1節目篇,極樂天堂爭霸戰,1,
691,極樂天堂爭霸戰EP1節目篇,極樂天堂爭霸戰,1,
688,極樂天堂爭霸戰EP1性愛篇,極樂天堂爭霸戰,2,
692,極樂天堂爭霸戰EP1性愛篇,極樂天堂爭霸戰,2,
712,「幕後花絮」極樂天堂爭霸戰：男優訪談,極樂天堂爭霸戰,5,
198,禁慾小屋EP4AV篇,禁慾小屋,4,
197,禁慾小屋EP4,禁慾小屋,3,
195,禁慾小屋EP3,禁慾小屋,1,
196,禁慾小屋3AV篇,禁慾小屋,2,
1078,聖誕上癮 強制麻上迫愛,預告,,
1182,新春女優榨精挑戰賽 【1/21 除夕夜夜呻吟】,預告,,
1123,愛神之島 麻豆三週年感謝祭特輯,預告,,
1125,愛神之島 麻豆三週年感謝祭特輯,預告,,
1127,愛神之島 麻豆三週年感謝祭特輯,預告,,
1166,啟程！日本暗黑風俗之旅！,預告,,
1110,料理淫家 美女主廚上菜啦！12/25立即開伙！,預告,,
1162,春色滿園一把胡,預告,,
1142,回歸東游! 淫亂日本行「Tokyo」2023/01/07 啟程！,預告,,
839,女神體育祭系列宣傳片,預告,,
836,女神體育祭-系列總預告,預告,,
937,十月熱播精選影片,預告,,
788,八月份TOP10熱播排行,預告,,
873,九月熱播精選影片,預告,,
697,七月份TOP10熱播排行,預告,,
774,9/5~9/11 強檔預告,預告,,
835,9/26~10/02 強檔預告,預告,,
821,9/19~9/25 強檔預告,預告,,
802,9/12~9/17 強檔預告,預告,,
1143,2023/01/07 啟程！日本暗黑風俗之旅！,預告,,
1053,11/28 ~ 12/05 強檔預告,預告,,
1033,11/21 ~ 11/27 強檔預告,預告,,
981,11/14~11/18 強片推薦,預告,,
966,11/07~11/13 強片推薦,預告,,
938,10/31~11/06 強片推薦,預告,,
908,10/24~10/29 強檔預告,預告,,
918,10/24~10/29 強檔預告,預告,,
893,10/17~10/23 強檔預告,預告,,
878,10/10~10/16 強檔預告,預告,,
857,「強檔預告」GOGO玩很大EP5,預告,,
822,「強檔預告」GOGO玩很大EP4,預告,,
790,「強檔預告」GOGO玩很大EP3,預告,,
706,「強檔預告」極樂天堂爭霸戰EP2性愛篇,預告,,
685,「強檔預告」極樂天堂爭霸戰EP1節目篇,預告,,
808,「強檔預告」野外露初ep4,預告,,
793,「強檔預告」野外露初ep3,預告,,
754,「強檔預告」野外露初EP1,預告,,
724,「強檔預告」性愛自修室第二季EP8,預告,,
740,「強檔預告」性愛自修室第二季 EP9,預告,,
673,「強檔預告」性愛自修室第二季 EP7,預告,,
676,「強檔預告」性愛自修室第二季 EP6,預告,,
913,「強檔預告」女優萬事屋EP3,預告,,
881,「強檔預告」女優萬事屋EP2,預告,,
820,「強檔預告」女優萬事屋EP1,預告,,
914,「強檔預告」女神體育祭ep5,預告,,
880,「強檔預告」女神體育祭ep4,預告,,
862,「強檔預告」女神體育祭ep3,預告,,
863,「強檔預告」女神體育祭ep3,預告,,
851,「強檔預告」女神體育祭ep2,預告,,
843,「強檔預告」女神體育祭ep1,預告,,
711,「內容搶先看」極樂天堂爭霸戰：精彩內容搶先看,預告,,
178,戀愛巴士EP2AV2篇下相遇X相愛X做愛,戀愛巴士,6,
177,戀愛巴士EP2AV1篇上相遇X相愛X做愛,戀愛巴士,5,
176,戀愛巴士EP2相遇X相愛X做愛,戀愛巴士,4,
605,戀愛巴士EP2相遇X相愛X做愛,戀愛巴士,4,
649,戀愛巴士EP1AV篇相遇X相愛X做愛,戀愛巴士,3,0
175,戀愛巴士EP1AV篇下相遇X相愛X做愛,戀愛巴士,3,0
174,戀愛巴士EP1AV上篇相遇X相愛X做愛,戀愛巴士,2,0
659,戀愛巴士EP1AV2篇相遇X相愛X做愛,戀愛巴士,3,
658,戀愛巴士EP1AV1篇相遇X相愛X做愛,戀愛巴士,2,
173,戀愛巴士EP1相遇X相愛X做愛,戀愛巴士,1,
1062,GOGO玩很大EP9,GOGO玩很大系列,9,
1025,GOGO玩很大EP8,GOGO玩很大系列,8,
941,GOGO玩很大EP7,GOGO玩很大系列,7,
902,GOGO玩很大EP6,GOGO玩很大系列,6,
871,GOGO玩很大EP5,GOGO玩很大系列,5,
827,GOGO玩很大EP4,GOGO玩很大系列,4,
796,GOGO玩很大EP3,GOGO玩很大系列,3,
757,GOGO玩很大EP2,GOGO玩很大系列,2,
1170,GOGO玩很大EP12,GOGO玩很大系列,12,
1141,GOGO玩很大EP11,GOGO玩很大系列,11,
1099,GOGO玩很大EP10,GOGO玩很大系列,10,
736,GOGO玩很大EP1,GOGO玩很大系列,1,
514,kiss糖果屋EP6,Kiss糖果屋系列,6,
233,kiss糖果屋EP5,Kiss糖果屋系列,5,
232,kiss糖果屋EP4,Kiss糖果屋系列,4,
231,kiss糖果屋EP3,Kiss糖果屋系列,3,
230,kiss糖果屋EP2,Kiss糖果屋系列,2,
229,kiss糖果屋EP1,Kiss糖果屋系列,1,
